Log created: 2025-07-15 18:27:41
Type: backup
[2025-07-15 18:27:43][notice]Start backing up.
[2025-07-15 18:27:43][notice]server info fcgi:Off max execution time: 300 wp version:6.8.1 php version:7.4.16 db version:5.7.24 php ini:safe_mode: memory_limit:512M memory_get_usage:173,93 MB memory_get_peak_usage:174,61 MB extensions:PDO enabled curl enabled zlib enabled   is_multisite:0
[2025-07-15 18:27:43][notice]Prepare to backup backup_db files.
[2025-07-15 18:27:43][notice]Start exporting database.
[2025-07-15 18:27:43][notice]Preparing to dump table wp_woocommerce_log
[2025-07-15 18:27:43][notice]Preparing to dump table wp_revslider_layer_animations
[2025-07-15 18:27:43][notice]Preparing to dump table wp_links
[2025-07-15 18:27:43][notice]Preparing to dump table wp_woocommerce_shipping_zone_locations
[2025-07-15 18:27:43][notice]Preparing to dump table wp_woocommerce_shipping_zone_methods
[2025-07-15 18:27:43][notice]Preparing to dump table wp_woocommerce_downloadable_product_permissions
[2025-07-15 18:27:43][notice]Preparing to dump table wp_woocommerce_shipping_zones
[2025-07-15 18:27:43][notice]Preparing to dump table wp_woocommerce_attribute_taxonomies
[2025-07-15 18:27:43][notice]Preparing to dump table wp_woocommerce_tax_rate_locations
[2025-07-15 18:27:43][notice]Preparing to dump table wp_woocommerce_tax_rates
[2025-07-15 18:27:43][notice]Preparing to dump table wp_wsluserscontacts
[2025-07-15 18:27:43][notice]Preparing to dump table wp_woocommerce_payment_tokenmeta
[2025-07-15 18:27:43][notice]Preparing to dump table wp_wslusersprofiles
[2025-07-15 18:27:43][notice]Preparing to dump table wp_rank_math_redirections_cache
[2025-07-15 18:27:43][notice]Preparing to dump table wp_rank_math_redirections
[2025-07-15 18:27:43][notice]Preparing to dump table wp_revslider_layer_animations_bkp
[2025-07-15 18:27:43][notice]Preparing to dump table wp_revslider_slides_bkp
[2025-07-15 18:27:43][notice]Preparing to dump table wp_wc_download_log
[2025-07-15 18:27:43][notice]Preparing to dump table wp_wc_order_coupon_lookup
[2025-07-15 18:27:43][notice]Preparing to dump table wp_wc_order_tax_lookup
[2025-07-15 18:27:43][notice]Preparing to dump table wp_revslider_static_slides_bkp
[2025-07-15 18:27:43][notice]Preparing to dump table wp_woocommerce_payment_tokens
[2025-07-15 18:27:43][notice]Preparing to dump table wp_revslider_navigations_bkp
[2025-07-15 18:27:43][notice]Preparing to dump table wp_revslider_sliders_bkp
[2025-07-15 18:27:43][notice]Preparing to dump table wp_revslider_navigations
[2025-07-15 18:27:43][notice]Preparing to dump table wp_wc_category_lookup
[2025-07-15 18:27:43][notice]Preparing to dump table wp_revslider_static_slides
[2025-07-15 18:27:43][notice]Preparing to dump table wp_rank_math_internal_meta
[2025-07-15 18:27:43][notice]Preparing to dump table wp_actionscheduler_claims
[2025-07-15 18:27:43][notice]Preparing to dump table wp_wc_webhooks
[2025-07-15 18:27:43][notice]Preparing to dump table wp_woocommerce_order_items
[2025-07-15 18:27:43][notice]Preparing to dump table wp_rank_math_404_logs
[2025-07-15 18:27:43][notice]Preparing to dump table wp_rank_math_sc_analytics
[2025-07-15 18:27:43][notice]Preparing to dump table wp_commentmeta
[2025-07-15 18:27:43][notice]Preparing to dump table wp_yoast_primary_term
[2025-07-15 18:27:43][notice]Preparing to dump table wp_rank_math_internal_links
[2025-07-15 18:27:43][notice]Preparing to dump table wp_woocommerce_sessions
[2025-07-15 18:27:43][notice]Preparing to dump table wp_yoast_seo_links
[2025-07-15 18:27:43][notice]Preparing to dump table wp_woocommerce_order_itemmeta
[2025-07-15 18:27:43][notice]Preparing to dump table wp_woocommerce_api_keys
[2025-07-15 18:27:43][notice]Preparing to dump table wp_wc_customer_lookup
[2025-07-15 18:27:43][notice]Preparing to dump table wp_wc_order_product_lookup
[2025-07-15 18:27:44][notice]Preparing to dump table wp_actionscheduler_logs
[2025-07-15 18:27:44][notice]Preparing to dump table wp_users
[2025-07-15 18:27:44][notice]Preparing to dump table wp_wc_tax_rate_classes
[2025-07-15 18:27:44][notice]Preparing to dump table wp_actionscheduler_groups
[2025-07-15 18:27:44][notice]Preparing to dump table wp_yoast_migrations
[2025-07-15 18:27:44][notice]Preparing to dump table wp_yoast_seo_meta
[2025-07-15 18:27:44][notice]Preparing to dump table wp_sbi_instagram_feeds_posts
[2025-07-15 18:27:44][notice]Preparing to dump table wp_wc_product_meta_lookup
[2025-07-15 18:27:44][notice]Preparing to dump table wp_comments
[2025-07-15 18:27:44][notice]Preparing to dump table wp_wc_order_stats
[2025-07-15 18:27:44][notice]Preparing to dump table wp_termmeta
[2025-07-15 18:27:44][notice]Preparing to dump table wp_revslider_css_bkp
[2025-07-15 18:27:44][notice]Preparing to dump table wp_term_relationships
